time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
01 22:44:11.930Z-01-2023,60.4958333333333,-152.762833333333,-2.99,-0.71,ml,5,113,,0.31,av,av91741331,04 22:05:24.680Z-01-2023,"78 km NW of Ninilchik, Alaska",earthquake,0.67,1.21,0.247058934349089,4,reviewed,av,av
01 22:41:06.340Z-01-2023,60.476,-152.727833333333,0.61,-0.97,ml,4,150,,0.17,av,av91082798,04 19:41:28.660Z-01-2023,"75 km NW of Ninilchik, Alaska",earthquake,0.57,0.71,0.1762686967177,4,reviewed,av,av
01 22:35:41.510Z-01-2023,38.759,-122.7176667,1.82,0.08,md,10,85,0.006192,0.04,nc,nc73827671,06 10:30:13.492Z-01-2023,"3km SW of Anderson Springs, CA",earthquake,0.28,0.38,0.11,2,reviewed,nc,nc
01 22:31:16.570Z-01-2023,18.3643,-68.3946,78,3.81,md,22,242,0.1502,0.03,pr,pr2023001003,11 22:51:31.040Z-03-2023,"22 km E of Boca de Yuma, Dominican Republic",earthquake,2.79,1.02,0.19,16,reviewed,pr,pr
01 22:30:13.740Z-01-2023,37.55,-118.8708333,5.13,0.35,md,8,221,0.05192,0.01,nc,nc73827666,02 18:02:12.382Z-01-2023,"14km SE of Mammoth Lakes, CA",earthquake,1.79,0.75,0.147,8,reviewed,nc,nc
01 22:27:32.650Z-01-2023,58.2426666666667,-155.0585,4.95,-0.63,ml,7,114,,0.19,av,av91082773,04 19:08:20.370Z-01-2023,"83 km NNW of Karluk, Alaska",earthquake,0.71,1.12,0.172234684567246,7,reviewed,av,av
01 22:25:47.740Z-01-2023,33.349,-117.5866667,13.99,1.4,ml,37,196,0.03889,0.13,ci,ci40152823,05 16:52:50.714Z-01-2023,"9km SSE of San Clemente, CA",earthquake,0.27,0.27,0.062,21,reviewed,ci,ci
01 22:22:12.111Z-01-2023,58.6072,-151.435,61.9,2,ml,,,,0.45,ak,ak02320rmi7,23 17:35:51.184Z-01-2023,"85 km SSE of Port Graham, Alaska",earthquake,,1.4,,,reviewed,ak,ak
01 22:19:27.780Z-01-2023,-19.0542,-177.6062,496.363,4.4,mb,78,41,3.087,0.56,us,us7000j1hf,11 22:51:30.040Z-03-2023,"Fiji region",earthquake,6.46,6.435,0.087,38,reviewed,us,us
01 22:17:10.290Z-01-2023,52.1243,-170.3677,35,2.9,ml,8,223,0.772,0.97,us,us7000j5ce,11 22:51:52.040Z-03-2023,"136 km SW of Nikolski, Alaska",earthquake,4.29,2.003,0.128,8,reviewed,us,us
01 22:15:30.390Z-01-2023,37.7896667,-121.9483333,10.65,1.32,md,23,65,0.07746,0.05,nc,nc73827661,11 00:08:12.256Z-01-2023,"3km ENE of San Ramon, CA",earthquake,0.31,0.4,0.189,14,reviewed,nc,nc
01 22:14:48.120Z-01-2023,51.914,179.585166666667,8.16,1.17,ml,4,130,,0.05,av,av91082793,04 19:34:30.050Z-01-2023,"260 km W of Adak, Alaska",earthquake,0.46,0.62,0.265290913212949,4,reviewed,av,av
01 22:08:06.478Z-01-2023,62.3427,-151.0181,69.6,1.4,ml,,,,0.43,ak,ak02320olyy,23 17:35:50.592Z-01-2023,"21 km SW of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
01 22:04:30.310Z-01-2023,33.2511667,-116.1981667,10.26,1.77,ml,62,40,0.07477,0.2,ci,ci40152815,05 16:22:10.290Z-01-2023,"14km NNW of Ocotillo Wells, CA",earthquake,0.18,0.44,0.115,42,reviewed,ci,ci
01 22:04:18.840Z-01-2023,19.4214992523193,-155.285003662109,-0.379999995231628,1.78999996,md,12,141,,0.129999995,hv,hv73291167,01 22:07:18.290Z-01-2023,"5 km WSW of Volcano, Hawaii",earthquake,0.19,0.300000012,1.10000002,6,automatic,hv,hv
01 22:03:53.440Z-01-2023,49.335166666666666,-120.48933333333333,-0.51,2.14,ml,6,232,0.5654,0.1,uw,uw61901166,01 23:12:03.980Z-01-2023,"13 km S of Princeton, Canada",explosion,1.38,31.61,0.13049108749713878,5,reviewed,uw,uw
01 21:59:00.724Z-01-2023,38.0399,72.3573,117.822,4,mb,26,126,1.5,0.86,us,us7000j1hb,11 22:51:30.040Z-03-2023,"Tajikistan",earthquake,6.87,9.868,0.196,7,reviewed,us,us
01 21:58:04.340Z-01-2023,37.7886667,-121.9496667,10.48,1.31,md,18,64,0.07788,0.04,nc,nc73827656,10 23:32:12.023Z-01-2023,"3km ENE of San Ramon, CA",earthquake,0.26,0.51,0.12,11,reviewed,nc,nc
01 21:58:03.250Z-01-2023,33.493,-116.4363333,12.93,0.88,ml,14,203,0.03159,0.12,ci,ci37485732,05 16:08:24.372Z-01-2023,"22km SSW of La Quinta, CA",earthquake,0.37,0.47,0.031,3,reviewed,ci,ci
01 21:57:56.320Z-01-2023,33.4776667,-116.4253333,13.54,0.78,ml,28,80,0.04561,0.17,ci,ci40152807,05 16:02:17.137Z-01-2023,"23km SSW of La Quinta, CA",earthquake,0.28,0.51,0.145,10,reviewed,ci,ci
01 21:55:08.183Z-01-2023,31.3366,140.9507,56.524,4.5,mb,55,98,2.018,0.78,us,us7000j1hc,18 19:08:06.219Z-01-2024,"Izu Islands, Japan region",earthquake,8.27,4.793,0.108,25,reviewed,us,us
01 21:54:13.349Z-01-2023,61.8496,-149.8545,47.4,1.3,ml,,,,0.28,ak,ak02320d1w6,18 21:27:03.396Z-01-2023,"Southern Alaska",earthquake,,1,,,reviewed,ak,ak
01 21:53:11.780Z-01-2023,37.7861667,-121.9495,10.53,0.88,md,13,163,0.08019,0.04,nc,nc73827651,02 17:50:13.323Z-01-2023,"3km ENE of San Ramon, CA",earthquake,0.31,0.41,0.149,10,reviewed,nc,nc
01 21:42:42.820Z-01-2023,18.0005,-66.9155,14.15,2.28,md,7,130,0.04278,0.08,pr,pr71390273,01 22:02:13.430Z-01-2023,"1 km N of Fuig, Puerto Rico",earthquake,0.43,0.47,0.0759664385553751,6,reviewed,pr,pr
01 21:42:23.220Z-01-2023,38.8450012,-122.8205032,1.85,0.7,md,6,105,0.009897,0.01,nc,nc73827646,01 21:44:00.977Z-01-2023,"9km WNW of Cobb, CA",earthquake,0.92,1.59,0.52,8,automatic,nc,nc
01 21:37:01.600Z-01-2023,34.3146667,-116.453,8.04,1.38,ml,22,102,0.06273,0.12,ci,ci37485724,05 15:50:10.660Z-01-2023,"22km N of Yucca Valley, CA",earthquake,0.23,0.51,0.211,12,reviewed,ci,ci
01 21:36:26.540Z-01-2023,34.3083333,-116.45,8.53,1.45,ml,30,99,0.05831,0.13,ci,ci40152799,05 15:43:32.457Z-01-2023,"22km N of Yucca Valley, CA",earthquake,0.19,0.34,0.153,23,reviewed,ci,ci
01 21:34:52.760Z-01-2023,34.3088333,-116.4551667,7.79,1.48,ml,31,99,0.06255,0.12,ci,ci40152783,05 15:34:41.490Z-01-2023,"22km N of Yucca Valley, CA",earthquake,0.18,0.39,0.153,24,reviewed,ci,ci
